Fecha,Frecuencia
2023-05-23,128
2023-05-24,118
2023-05-25,155
2023-05-26,108
2023-05-27,97
2023-05-28,121
2023-05-29,120
2023-05-30,105
2023-05-31,95
2023-06-01,130
2023-06-02,161
2023-06-03,104
2023-06-04,83
2023-06-05,110
2023-06-06,169
2023-06-07,110
2023-06-08,92
2023-06-09,120
2023-06-10,140
2023-06-11,124
2023-06-12,125
2023-06-13,129
2023-06-14,120
2023-06-15,110
2023-06-16,100
2023-06-17,112
2023-06-18,137
2023-06-19,123
2023-06-20,173
2023-06-21,125
2023-06-22,140
2023-06-23,118
2023-06-24,110
2023-06-25,126
2023-06-26,148
2023-06-27,116
2023-06-28,100
2023-06-29,90
2023-06-30,96
2023-07-01,97
2023-07-02,115
2023-07-03,128
2023-07-04,128
2023-07-05,111
2023-07-06,120
2023-07-07,118
2023-07-08,101
2023-07-09,153
2023-07-10,154
2023-07-11,134
2023-07-12,139
2023-07-13,144
2023-07-14,107
2023-07-15,136
2023-07-16,124
2023-07-17,95
2023-07-18,100
2023-07-19,81
2023-07-20,92
2023-07-21,111
2023-07-22,104
2023-07-23,102
2023-07-24,157
2023-07-25,125
2023-07-26,99
2023-07-27,87
2023-07-28,79
2023-07-29,105
2023-07-30,101
2023-07-31,84
2023-08-01,93
2023-08-02,76
2023-08-03,84
2023-08-04,84
2023-08-05,92
2023-08-06,87
2023-08-07,116
2023-08-08,68
2023-08-09,50
2023-08-10,64
2023-08-11,67
2023-08-12,66
2023-08-13,62
2023-08-14,67
2023-08-15,63
2023-08-16,56
2023-08-17,65
2023-08-18,73
2023-08-19,74
2023-08-20,82
2023-08-21,79
2023-08-22,70
2023-08-23,72
2023-08-24,45
2023-08-25,47
2023-08-26,47
2023-08-27,60
2023-08-28,50
2023-08-29,36
2023-08-30,40
2023-08-31,57
2023-09-01,64
2023-09-02,47
2023-09-03,62
2023-09-04,61
2023-09-05,47
2023-09-06,63
2023-09-07,31
2023-09-08,43
2023-09-09,33
2023-09-10,55
2023-09-11,43
2023-09-12,57
2023-09-13,45
2023-09-14,45
2023-09-15,62
2023-09-16,43
2023-09-17,57
2023-09-18,49
2023-09-19,45
2023-09-20,35
2023-09-21,32
2023-09-22,26
2023-09-23,39
2023-09-24,41
2023-09-25,47
2023-09-26,36
2023-09-27,28
2023-09-28,39
2023-09-29,37
2023-09-30,36
2023-10-01,35
2023-10-02,35
2023-10-03,37
2023-10-04,32
2023-10-05,33
2023-10-06,112
2023-10-07,22
2023-10-08,22
2023-10-09,30
2023-10-10,33
2023-10-11,21
2023-10-12,21
2023-10-13,23
2023-10-14,27
2023-10-15,33
2023-10-16,31
2023-10-17,29
2023-10-18,25
2023-10-19,20
2023-10-20,35
2023-10-21,38
2023-10-22,29
2023-10-23,31
2023-10-24,35
2023-10-25,35
2023-10-26,27
2023-10-27,21
2023-10-28,28
2023-10-29,27
2023-10-30,35
2023-10-31,27
2023-11-01,53
2023-11-02,26
2023-11-03,31
2023-11-04,32
2023-11-05,28
2023-11-06,24
2023-11-07,41
2023-11-08,26
2023-11-09,28
2023-11-10,34
2023-11-11,26
2023-11-12,33
2023-11-13,41
2023-11-14,36
2023-11-15,34
2023-11-16,25
2023-11-17,37
2023-11-18,32
2023-11-19,41
2023-11-20,41
2023-11-21,34
2023-11-22,32
2023-11-23,33
2023-11-24,51
2023-11-25,43
2023-11-26,41
2023-11-27,54
2023-11-28,41
2023-11-29,37
2023-11-30,62
2023-12-01,35
2023-12-02,37
2023-12-03,43
2023-12-04,58
2023-12-05,63
2023-12-06,47
2023-12-07,46
2023-12-08,69
2023-12-09,66
2023-12-10,70
2023-12-11,76
2023-12-12,76
2023-12-13,73
2023-12-14,70
2023-12-15,72
2023-12-16,76
2023-12-17,56
2023-12-18,82
2023-12-19,96
2023-12-20,86
2023-12-21,82
2023-12-22,100
2023-12-23,93
2023-12-24,114
2023-12-25,112
2023-12-26,150
2023-12-27,133
2023-12-28,123
2023-12-29,114
2023-12-30,121
2023-12-31,148
2024-01-01,184
2024-01-02,183
2024-01-03,176
2024-01-04,149
2024-01-05,186
2024-01-06,192
2024-01-07,236
2024-01-08,212
2024-01-09,190
2024-01-10,142
2024-01-11,112
2024-01-12,53
2024-01-13,21
2024-01-14,9
2024-01-15,1
